No,Gander,Age,Education Level,major,1.1,1.02,1.3,1.04,1.5,1.6,1.7,1.8,1.9,1.10,2.1,2.2,2.3,2.4,2.5,2.6,2.7,3.1,3.2,3.3,3.4,3.5
1,Male,20-21 years old,2nd year,B.Ed. Computer,4,4,5,4,4,5,5,3,4,4,4,3,5,5,4,3,5,5,5,5,5,5
2,Male,18-19 years old,2nd year,B.Ed. Computer,4,4,5,4,5,5,5,3,4,5,4,3,5,5,4,3,4,4,5,5,5,5
3,Male,22-23 years old,2nd year,B.Ed. Computer,5,4,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4,5
4,Male,18-19 years old,2nd year,B.Ed. Computer,5,4,3,4,4,5,4,5,4,4,4,4,3,4,3,4,4,4,3,4,4,3
5,Male,18-19 years old,2nd year,B.Ed. Computer,5,5,5,4,5,5,5,5,4,5,5,4,5,5,4,4,5,5,5,4,5,5
6,Female,20-21 years old,3rd year,B.Ed. Computer,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,Female,20-21 years old,2nd year,B.Ed. Computer,4,4,4,5,4,5,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5
8,Female,20-21 years old,3rd year,B.Ed. Computer,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,Female,20-21 years old,3rd year,B.Ed. Computer,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,4,5,4,4,5
10,Female,20-21 years old,3rd year,B.Ed. Computer,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
11,Female,20-21 years old,3rd year,B.Ed. Computer,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,Female,20-21 years old,3rd year,B.Ed. Computer,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,Female,20-21 years old,2nd year,B.Ed. Computer,4,5,3,5,5,5,3,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5
14,Male,20-21 years old,2nd year,B.Ed. Computer,4,3,5,5,5,5,5,3,3,3,5,4,5,3,4,4,3,5,5,4,4,5
15,Male,20-21 years old,2nd year,B.Ed. Computer,5,4,4,4,5,5,5,5,5,4,3,4,3,5,3,5,5,3,5,4,3,3
16,Female,18-19 years old,1st year,B.Ed. Computer,5,4,4,5,4,5,5,4,5,5,5,5,5,5,4,5,5,4,5,5,4,5
17,Female,18-19 years old,1st year,B.Ed. Computer,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
18,Female,20-21 years old,1st year,B.Ed. Computer,3,4,3,5,3,5,3,3,4,5,3,2,4,5,3,3,5,3,4,3,3,5
19,Female,18-19 years old,1st year,B.Ed. Computer,4,4,5,5,4,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5
20,Female,18-19 years old,1st year,B.Ed. Computer,5,5,3,4,5,5,5,4,5,4,3,4,4,5,4,4,4,5,5,5,4,5
21,Male,18-19 years old,1st year,B.Ed. Computer,5,5,5,5,5,4,5,5,4,4,5,5,5,4,5,5,4,5,5,5,4,5
22,Male,18-19 years old,1st year,B.Ed. Computer,5,5,4,5,5,4,5,4,5,4,3,3,5,5,3,3,2,4,5,4,3,5
23,Male,18-19 years old,1st year,B.Ed. Computer,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
24,Male,18-19 years old,1st year,B.Ed. Computer,3,3,4,5,4,5,5,4,4,4,3,5,5,5,3,4,3,4,5,5,5,5
25,Male,18-19 years old,1st year,B.Ed. Computer,4,4,5,4,5,4,4,3,4,3,3,3,4,4,3,4,4,3,4,4,4,4
26,Male,18-19 years old,1st year,B.Ed. Computer,3,4,5,5,5,5,5,5,5,4,4,4,5,5,3,4,4,4,5,5,4,5
27,Male,18-19 years old,1st year,B.Ed. Computer,5,5,5,5,5,5,4,3,4,5,4,4,3,4,5,4,4,4,4,4,4,5
28,Male,18-19 years old,1st year,B.Ed. Computer,5,5,5,5,5,5,4,5,4,4,3,2,5,5,4,5,5,4,5,5,4,5
29,Male,18-19 years old,1st year,B.Ed. Computer,5,5,5,3,5,5,5,5,4,5,5,5,5,4,5,4,4,5,5,5,5,5
30,Male,18-19 years old,1st year,B.Ed. Computer,5,4,5,5,5,5,5,4,5,4,4,5,4,3,4,4,4,4,5,4,5,5
31,Male,18-19 years old,1st year,B.Sc. Computer Science,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,3,1,2,5
32,Male,18-19 years old,1st year,B.Sc. Computer Science,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,3,4,5
33,Male,18-19 years old,1st year,B.Sc. Computer Science,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5
34,Male,18-19 years old,1st year,B.Sc. Computer Science,4,4,5,5,5,5,4,5,4,4,4,5,5,5,3,4,4,4,5,5,4,4
35,Male,18-19 years old,1st year,B.Sc. Computer Science,5,5,5,5,3,4,4,4,5,4,4,5,5,4,4,3,3,4,5,2,3,5
36,Male,18-19 years old,1st year,B.Sc. Computer Science,5,4,5,4,5,5,5,5,5,4,4,5,5,5,4,4,5,5,5,5,5,5
37,Male,18-19 years old,1st year,B.Sc. Computer Science,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,5,5,4,5
38,Male,18-19 years old,1st year,B.Sc. Computer Science,5,3,3,4,4,4,4,4,2,4,5,2,3,3,3,3,4,2,3,4,4,3
39,Male,20-21 years old,1st year,B.Sc. Computer Science,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,4,5,5,5,4,5,5
40,Male,18-19 years old,2nd year,B.Sc. Computer Science,5,5,4,4,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,4,4
41,Male,20-21 years old,2nd year,B.Sc. Computer Science,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
42,Male,20-21 years old,2nd year,B.Sc. Computer Science,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
43,Male,20-21 years old,2nd year,B.Sc. Computer Science,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
44,Male,18-19 years old,2nd year,B.Sc. Computer Science,5,4,5,5,4,5,4,5,5,3,3,5,5,4,3,5,4,2,5,3,2,5
45,Male,20-21 years old,2nd year,B.Sc. Computer Science,5,5,5,5,5,4,4,5,5,4,4,4,4,5,4,4,4,4,4,5,4,5
46,Male,20-21 years old,2nd year,B.Sc. Computer Science,5,5,5,4,5,5,5,4,4,4,3,4,4,4,4,5,5,4,5,4,3,3
47,Male,20-21 years old,2nd year,B.Sc. Computer Science,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
48,Male,18-19 years old,2nd year,B.Sc. Computer Science,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
49,Male,20-21 years old,2nd year,B.Sc. Computer Science,4,4,3,4,5,5,5,4,5,5,4,4,4,3,4,4,3,3,4,4,4,4
50,Male,20-21 years old,2nd year,B.Sc. Computer Science,3,3,5,4,4,3,5,5,4,4,3,5,4,4,3,4,5,4,5,5,3,4
51,Male,20-21 years old,2nd year,B.Sc. Computer Science,5,4,5,4,5,4,5,4,5,4,4,5,4,4,4,5,5,5,5,5,5,5
52,Male,20-21 years old,2nd year,B.Sc. Computer Science,4,3,3,4,4,3,4,4,5,4,3,4,4,3,4,3,4,4,4,4,4,4
53,Female,20-21 years old,2nd year,B.Sc. Computer Science,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5
54,Male,20-21 years old,3rd year,B.Sc. Computer Science,4,4,5,5,4,5,4,5,5,4,4,3,5,4,4,4,4,4,4,4,3,5
55,Male,20-21 years old,3rd year,B.Sc. Computer Science,5,4,5,4,5,4,5,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5
56,Male,20-21 years old,3rd year,B.Sc. Computer Science,4,4,4,3,2,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5,4,4
57,Male,20-21 years old,3rd year,B.Sc. Computer Science,4,5,4,5,4,5,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5
58,Male,20-21 years old,3rd year,B.Sc. Computer Science,4,5,5,5,5,5,5,5,4,5,4,4,5,5,3,3,5,3,4,4,4,5
59,Male,20-21 years old,3rd year,B.Sc. Computer Science,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5
60,Male,20-21 years old,3rd year,B.Sc. Computer Science,5,5,5,5,5,5,5,4,5,4,4,5,5,5,4,4,5,4,4,3,4,5
